Borough_Name,Coordinates,Borough_Population
Barking and Dagenham,"51.5607, 0.1557",219992
Barnet,"51.6252, -0.1517",389101
Bexley,"51.4549, 0.1505",247835
Brent,"51.5588, -0.2817",341221
Bromley,"51.4039, 0.0198",329578
Camden,"51.529, -0.1255",218049
Croydon,"51.3714, -0.0977",392224
Ealing,"51.513, -0.3089",369937
Enfield,"51.6538, -0.0799",327224
Greenwich,"51.4892, 0.0648",291080
Hackney,"51.545, -0.0553",261491
Hammersmith and Fulham,"51.4927, -0.2339",185238
Haringey,"51.6, -0.1119",261811
Harrow,"51.5898, -0.3346",261185
Havering,"51.5812, 0.1837",264703
Hillingdon,"51.5441, -0.476",310681
Hounslow,"51.4746, -0.368",290488
Islington,"51.5416, -0.1022",220373
Kensington and Chelsea,"51.502, -0.1947",146154
Kingston upon Thames,"51.4085, -0.3064",168302
Lambeth,"51.4607, -0.1163",316812
Lewisham,"51.4452, -0.0209",298653
Merton,"51.4014, -0.1958",214709
Newham,"51.5077, 0.0469",358645
Redbridge,"51.559, 0.0741",310911
Richmond upon Thames,"51.4479, -0.326",194894
Southwark,"51.5035, -0.0804",311913
Sutton,"51.3618, -0.1945",210053
Tower Hamlets,"51.5099, -0.0059",325789
Waltham Forest,"51.5908, -0.0134",275887
Wandsworth,"51.4567, -0.191",329035
Westminster,"51.4973, -0.1372",211365
City of London,"51.5077, -0.0953",10847
